_id,name,img,info,left,right,up,down
5fc57c7b9d5374db554959c5,Administration,https://i.imgur.com/q9lxiY5.jpg,"This is the Administration Building, which is home to the Administration and Finance Division. Our Vice President serves as the Chief Financial Officer and their office is also in this building. Service groups that are located here include Facilities Development and Operations, Finance, University Police Department, and Spartan Shops Inc.",null,5fc57c7b9d5374db554959cb,null,5fc57c7b9d5374db554959d3
5fc57c7b9d5374db554959c6,Art Building,https://i.imgur.com/GQZhV6w.jpg,"This is the Art Building which houses art majors such as animation, illustration, and graphic design. Students have gone on to work with great companies such as Disney, Pixar and Cartoon Network. Fun Fact: Past students of SJSU worked on The Incredibles movie and in the last scene where Dash is running around the track, a �Go Spartans!� banner is seen.",5fc57c7b9d5374db554959d9,5fc57c7b9d5374db554959c9,null,5fc57c7b9d5374db554959d1
5fc57c7b9d5374db554959c7,Business Tower,https://i.imgur.com/ZhHlKOL.jpg,"This is the Lucas College and Graduate School of Business, aka the Business Tower, it is a part of BBC, Boccardo Business Complex. ",5fc57c7b9d5374db554959c8,5fc57c7b9d5374db554959c9,null,5fc57c7b9d5374db554959c6
5fc57c7b9d5374db554959c8,Associated Students House,https://i.imgur.com/NRINDNw.jpeg,"This literal house on campus belongs to Associated Students, the base for student government. If you want to plan an event, book a facility, get involved in student government or anything related to students, chances are you'll find your answers here.",5fc57c7b9d5374db554959d2,null,null,5fc57c7b9d5374db554959c7
5fc57c7b9d5374db554959c9,Boccardo Business Complex,https://i.imgur.com/W2Tvqri.jpg,"This is the Boccardo Business Complex or better known as BBC, where all business related majors and concentrations like accounting and finance are housed. Students here have a great opportunity to network with major Silicon Valley companies like Apple, Google, and Facebook.
",5fc57c7b9d5374db554959c7,5fc57c7b9d5374db554959d1,null,5fc57c7b9d5374db554959c6
5fc57c7b9d5374db554959ca,Central Classroom Building,https://i.imgur.com/V3d5TBP.jpg,"This is the Central Classroom Building which houses food and packaging sciences, and nutrition program. Behind this building is a preschool for hands-on experience for child and development majors. 
",5fc57c7b9d5374db554959df,5fc57c7b9d5374db554959ce,null,5fc57c7b9d5374db554959cb
5fc57c7b9d5374db554959cb,Clark Hall,https://i.imgur.com/E1SdDm7.jpg,"This is Clark Hall, which houses majors like anthropology, linguistics, political science, and Mexican-American studies. The first floor includes one of the IT computer labs for students to use and  has the office for EOP, Educational Opportunity Program, a program for first generation college students.",5fc57c7b9d5374db554959e1,5fc57c7b9d5374db554959cf,null,5fc57c7b9d5374db554959ca
5fc57c7b9d5374db554959cc,Dudley Moorhead Hall,https://i.imgur.com/6CeF0MU.jpg,"This is Dudley Moorhead Hall, it has majors such as history, women?s studies, and Asian-American studies.",5fc57c7b9d5374db554959c5,5fc57c7b9d5374db554959d6,null,5fc57c7b9d5374db554959d3
5fc57c7b9d5374db554959cd,Duncan Hall,https://i.imgur.com/XhGVCeP.jpg,"This is Duncan Hall, which houses biology, meteorology, photography and more science majors. The roof of this building has equipment to collect weather forecasts, and has a garden. Fun Fact: There are cadavers in this building as well, but access to them is limited.",5fc57c7b9d5374db554959d8,5fc57c7b9d5374db554959e3,null,5fc57c7b9d5374db554959d7
5fc57c7b9d5374db554959ce,Dwight Bentel Hall,https://i.imgur.com/hg0mhon.jpg,"This is Dwight Bemtel Hall, one of the original buildings on campus where journalism and mass communication are housed. It is home to Spartan Daily, our fully student run newspaper which has won many awards. SJSU Update News is also broadcast from here, which brings weekly news.",5fc57c7b9d5374db554959e2,5fc57c7b9d5374db554959ca,null,5fc57c7b9d5374db554959d0
5fc57c7b9d5374db554959cf,Engineering Building,https://i.imgur.com/XOsF3AC.jpg,"This is the Engineering Building, which is home to all engineering majors like software engineering, computer engineering, mechanical engineering and more. Big companies like Cisco and Apple get most of their new grad hires from here.",5fc57c7b9d5374db554959cb,5fc57c7b9d5374db554959d2,null,5fc57c7b9d5374db554959df
5fc57c7b9d5374db554959d0,Faculty Offices,https://i.imgur.com/laFDmYa.jpg,"This is our Faculty Offices building, where many of our professors have offices. Students often meet for office hours in this building.",5fc57c7b9d5374db554959e2,5fc57c7b9d5374db554959dd,null,5fc57c7b9d5374db554959ce
5fc57c7b9d5374db554959d1,Health Building,https://i.imgur.com/3R3zjJA.jpg,"This is the Health Building, which has the College of Health and Human Sciences and the nursing department. Nursing students spend a lot of time here in simulation and skill labs.",5fc57c7b9d5374db554959dc,5fc57c7b9d5374db554959c9,null,5fc57c7b9d5374db554959c6
5fc57c7b9d5374db554959d2,Industrial Studies,https://i.imgur.com/9yT7aXF.jpg,"This is the Industrial Studies building, which houses Aviation major students. Fun Fact: Aviation students graduate with both a degree and piloting license.",5fc57c7b9d5374db554959cf,null,null,5fc57c7b9d5374db554959df
5fc57c7b9d5374db554959d3,Instructional Resource Center,https://i.imgur.com/4wbJHuB.jpg,This is the Instructional Resource Center where students can check out multimedia equipment such as speakers for club events.,5fc57c7b9d5374db554959d6,5fc57c7b9d5374db554959c5,null,5fc57c7b9d5374db554959e1
5fc57c7b9d5374db554959d4,"Dr. Martin Luther King, Jr. Library",https://i.imgur.com/UmMStIg.jpg,"This is the Dr. Martin Luther King, Jr. Library, it is a joint campus and San Jose public library with 8 floors and a lower level floor open 24/7 5 days of the week for students only.. On the first floor, you can check out books, use print kiosks, or visit the cafe. The second floor features study and event spaces and a writing center. The third floor has a professional development center. The fourth floor is known as the Spartan Floor, perfect for group work and you can check out computers and chargers as well. Probably the coolest floor with the Virtual Reality room, Sound Studio and more. The fifth floor has special collections and archives for different ethnic backgrounds and the Beethoven and Steinbeck Center. Floors six through 8 are quiet/silent floors, perfect for studying.",5fc57c7b9d5374db554959da,5fc57c7b9d5374db554959d6,null,5fc57c7b9d5374db554959e1
5fc57c7b9d5374db554959d5,Information Technology,https://i.imgur.com/zOBhKDJ.jpg,"This is the Information Technology building where they handle all IT services. These services include handling connection issues, account issues, managing computer labs, etc.",5fc57c7b9d5374db554959de,5fc57c7b9d5374db554959c7,null,5fc57c7b9d5374db554959d2
